,Primer,Taxonomic Level,Reference Status,Num Subsampled,Total Nodes,Total Edges,Positive Edges,Negative Edges,Pos/Neg,Pos/Total,Neg/Total,Avg Path Length,Modularity,Avg Degree,Heterogeneity,Clustering Coefficient
287,asv16S,Family,physeq_Stressed,50,19,52,50,2,25,0.961538462,0.038461538,1.452631579,0.081118255,5.473684211,0.711545051,0.674418605
288,asv16S,Family,physeq_Stressed,50,19,59,56,3,18.66666667,0.949152542,0.050847458,1.378947368,0.151550827,6.210526316,0.712029755,0.815352697
289,asv16S,Family,physeq_Stressed,50,17,56,55,1,55,0.982142857,0.017857143,1.471698113,0.024734706,6.588235294,0.847396708,0.712742981
290,asv16S,Family,physeq_Stressed,50,13,34,34,0,Inf,1,0,1.564102564,0.023827046,5.230769231,0.715967856,0.652777778
291,asv16S,Family,physeq_Stressed,50,14,38,38,0,Inf,1,0,1.432835821,0.013294673,5.428571429,0.855595815,0.682926829
292,asv16S,Family,physeq_Stressed,50,14,43,42,1,42,0.976744186,0.023255814,1.358208955,0.035739919,6.142857143,0.613686743,0.772277228
293,asv16S,Family,physeq_Stressed,50,17,46,45,1,45,0.97826087,0.02173913,1.425,0.040045653,5.411764706,0.806187633,0.747692308
294,asv16S,Family,physeq_Stressed,50,15,49,49,0,Inf,1,0,1.379746835,0.005788862,6.533333333,0.820020018,0.770053476
295,asv16S,Family,physeq_Stressed,50,18,42,41,1,41,0.976190476,0.023809524,1.487804878,0.064890512,4.666666667,0.587785508,0.752767528
296,asv16S,Family,physeq_Stressed,50,22,64,61,3,20.33333333,0.953125,0.046875,1.346938776,0.189251361,5.818181818,0.569659487,0.817142857
297,asv16S,Family,physeq_Stressed,50,15,54,54,0,Inf,1,0,1.485714286,0.030914851,7.2,0.768825804,0.738148984
298,asv16S,Family,physeq_Stressed,50,21,60,57,3,19,0.95,0.05,1.375,0.172233224,5.714285714,0.672741655,0.7875
299,asv16S,Family,physeq_Stressed,50,13,31,30,1,30,0.967741935,0.032258065,1.446428571,0.037848698,4.769230769,0.717604356,0.75
300,asv16S,Family,physeq_Stressed,50,13,38,38,0,Inf,1,0,1.512820513,0,5.846153846,0.643943131,0.720930233
301,asv16S,Family,physeq_Stressed,50,16,44,43,1,43,0.977272727,0.022727273,1.352941176,0.078164589,5.5,0.789197842,0.754966887
302,asv16S,Family,physeq_Stressed,50,16,45,45,0,Inf,1,0,1.510869565,0.044784109,5.625,0.835194177,0.614678899
303,asv16S,Family,physeq_Stressed,50,11,35,35,0,Inf,1,0,1.363636364,7.79E-16,6.363636364,0.870281804,0.783185841
